# time  ID  size  fromHost  toHost  TTL  isResponse
15104.0000 HM331 475657 p37 r64 300 N 
15143.0000 HM332 151758 p22 r79 300 N 
15177.0000 HM333 496112 p49 r65 300 N 
15219.0000 HM334 447333 p7 r62 300 N 
15270.0000 HM335 150785 p40 r77 300 N 
15388.0000 HM337 385041 p56 r78 300 N 
15424.0000 HM338 441192 p47 r65 300 N 
15454.0000 HM339 226726 p50 r63 300 N 
15514.0000 HM340 160538 p53 r70 300 N 
15564.0000 HM341 394497 p1 r68 300 N 
15617.0000 HM342 119227 p58 r60 300 N 
15672.0000 HM343 182994 p6 r68 300 N 
15713.0000 HM344 274330 p22 r73 300 N 
15769.0000 HM345 409619 p15 r76 300 N 
15818.0000 HM346 186261 p15 r76 300 N 
15867.0000 HM347 395696 p5 r73 300 N 
15908.0000 HM348 291301 p6 r65 300 N 
15948.0000 HM349 353345 p16 r68 300 N 
15989.0000 HM350 428079 p26 r66 300 N 
16041.0000 HM351 328353 p14 r75 300 N 
16086.0000 HM352 454172 p48 r63 300 N 
16116.0000 HM353 293552 p1 r72 300 N 
16146.0000 HM354 134726 p14 r68 300 N 
16181.0000 HM355 483570 p58 r64 300 N 
16226.0000 HM356 202836 p50 r62 300 N 
16274.0000 HM357 394438 p53 r75 300 N 
16334.0000 HM358 221944 p42 r61 300 N 
16426.0000 HM360 169747 p12 r72 300 N 
16471.0000 HM361 393547 p48 r77 300 N 
16581.0000 HM363 329205 p53 r73 300 N 
16624.0000 HM364 121434 p49 r79 300 N 
16676.0000 HM365 197069 p53 r63 300 N 
16712.0000 HM366 178911 p55 r66 300 N 
16756.0000 HM367 468256 p0 r75 300 N 
16814.0000 HM368 126051 p9 r75 300 N 
16855.0000 HM369 400497 p34 r71 300 N 
16885.0000 HM370 282773 p49 r77 300 N 
16939.0000 HM371 303788 p52 r70 300 N 
16978.0000 HM372 475996 p46 r71 300 N 
17021.0000 HM373 228291 p52 r68 300 N 
17081.0000 HM374 161253 p14 r61 300 N 
17123.0000 HM375 315272 p49 r73 300 N 
17161.0000 HM376 454857 p17 r71 300 N 
17198.0000 HM377 482418 p2 r61 300 N 
17254.0000 HM378 226306 p57 r69 300 N 
17290.0000 HM379 354656 p33 r70 300 N 
17338.0000 HM380 398852 p21 r69 300 N 
17375.0000 HM381 194159 p22 r78 300 N 
17429.0000 HM382 437051 p17 r67 300 N 
17481.0000 HM383 170940 p44 r64 300 N 
17530.0000 HM384 342017 p43 r77 300 N 
17573.0000 HM385 391745 p22 r62 300 N 
