# time  ID  size  hopcount  deliveryTime  fromHost  toHost  remainingTtl  isResponse  path
7707.0000 HM166 363599 2 65.0000 p5 r62 298 N p5->v88->r62
7710.0000 HM100 397893 2 3185.0000 p41 r64 246 N p41->v87->r64
7803.0000 HM164 128928 1 265.0000 p4 r68 295 N p4->r68
7823.0000 HM163 188399 1 322.0000 p34 r71 294 N p34->r71
7969.0000 HM147 240051 3 1225.0000 p25 r77 279 N p25->p51->r61->r77
7970.0000 HM139 290760 2 1602.0000 p41 r66 273 N p41->p40->r66
7988.0000 HM49 278903 3 5809.0000 p18 r66 203 N p18->p57->v84->r66
7988.0000 HM155 430191 2 880.0000 p48 r69 285 N p48->v83->r69
8144.0000 HM141 448280 2 1660.0000 p59 r64 272 N p59->v88->r64
8145.0000 HM161 177650 3 732.0000 p16 r69 287 N p16->v92->v81->r69
8153.0000 HM176 496121 2 49.0000 p32 r76 299 N p32->p39->r76
8162.0000 HM165 330006 1 573.0000 p0 r66 290 N p0->r66
8266.0000 HM140 142734 2 1839.0000 p5 r61 269 N p5->p40->r61
8272.0000 HM152 103579 2 1303.0000 p38 r75 278 N p38->p13->r75
8354.0000 HM178 345461 3 175.0000 p29 r72 297 N p29->p32->v87->r72
8432.0000 HM159 452215 2 1108.0000 p17 r75 281 N p17->v85->r75
8443.0000 HM74 320600 2 5130.0000 p53 r61 214 N p53->v85->r61
8445.0000 HM167 138068 2 746.0000 p9 r79 287 N p9->v83->r79
8478.0000 HM108 477660 1 3570.0000 p7 r74 240 N p7->r74
8494.0000 HM160 418491 1 1113.0000 p4 r65 281 N p4->r65
8496.0000 HM185 414847 1 9.0000 p24 r79 299 N p24->r79
8516.0000 HM180 166453 2 245.0000 p12 r60 295 N p12->v89->r60
8573.0000 HM170 332876 2 726.0000 p31 r65 287 N p31->r64->r65
8774.0000 HM162 464262 1 1311.0000 p4 r64 278 N p4->r64
8779.0000 HM150 282117 2 1897.0000 p18 r75 268 N p18->p44->r75
8797.0000 HM187 199786 2 223.0000 p58 r76 296 N p58->v87->r76
8797.0000 HM186 315770 2 268.0000 p23 r61 295 N p23->v93->r61
8808.0000 HM182 473125 1 456.0000 p26 r71 292 N p26->r71
8813.0000 HM135 360885 2 2664.0000 p13 r67 255 N p13->v91->r67
8890.0000 HM148 328916 1 2103.0000 p49 r67 264 N p49->r67
9008.0000 HM157 373271 3 1783.0000 p20 r79 270 N p20->v82->p42->r79
9015.0000 HM169 483427 3 1223.0000 p41 r67 279 N p41->p7->v84->r67
9059.0000 HM174 334701 3 1034.0000 p31 r70 282 N p31->p34->v83->r70
9076.0000 HM89 223736 2 5074.0000 p7 r70 215 N p7->v82->r70
9155.0000 HM177 187837 3 1017.0000 p32 r67 283 N p32->p39->p29->r67
9181.0000 HM154 307673 2 2117.0000 p21 r63 264 N p21->v91->r63
9266.0000 HM189 202032 1 613.0000 p22 r69 289 N p22->r69
9271.0000 HM142 202193 1 2753.0000 p54 r69 254 N p54->r69
9414.0000 HM200 463164 2 286.0000 p21 r67 295 N p21->r69->r67
9456.0000 HM195 432131 3 553.0000 p8 r70 290 N p8->r72->v83->r70
9463.0000 HM197 453322 2 458.0000 p32 r63 292 N p32->v80->r63
9545.0000 HM206 368803 1 132.0000 p51 r72 297 N p51->r72
9610.0000 HM194 247045 2 748.0000 p43 r79 287 N p43->v88->r79
9743.0000 HM156 150547 2 2577.0000 p12 r76 257 N p12->p19->r76
9760.0000 HM196 277086 2 808.0000 p29 r63 286 N p29->p54->r63
9767.0000 HM172 349565 2 1850.0000 p7 r63 269 N p7->p54->r63
9786.0000 HM193 297075 2 957.0000 p49 r74 284 N p49->p39->r74
9790.0000 HM190 422696 2 1099.0000 p55 r70 281 N p55->v94->r70
9951.0000 HM171 317487 3 2065.0000 p21 r77 265 N p21->v81->v80->r77
10000.0000 HM192 133601 2 1219.0000 p13 r74 279 N p13->v82->r74
10011.0000 HM183 436761 1 1606.0000 p35 r76 273 N p35->r76
10039.0000 HM207 114347 2 587.0000 p52 r76 290 N p52->r62->r76
10075.0000 HM212 227888 2 409.0000 p58 r75 293 N p58->v82->r75
10149.0000 HM202 220599 2 926.0000 p32 r67 284 N p32->v86->r67
10190.0000 HM201 358991 1 1017.0000 p35 r74 283 N p35->r74
10230.0000 HM168 121314 3 2495.0000 p50 r72 258 N p50->p44->v91->r72
10269.0000 HM119 402039 2 4859.0000 p20 r79 219 N p20->v87->r79
10276.0000 HM218 374364 2 299.0000 p53 r67 295 N p53->v86->r67
10294.0000 HM203 188003 2 1037.0000 p33 r63 282 N p33->v87->r63
10304.0000 HM215 409213 2 476.0000 p37 r62 292 N p37->v82->r62
10361.0000 HM220 271878 3 315.0000 p16 r68 294 N p16->p59->v80->r68
