# time  ID  size  hopcount  deliveryTime  fromHost  toHost  remainingTtl  isResponse  path
8681.0000 HM183 436761 2 276.0000 p35 r76 295 N p35->v89->r76
8698.0000 HM185 414847 2 211.0000 p24 r79 296 N p24->v82->r79
8709.0000 HM189 202032 2 56.0000 p22 r69 299 N p22->p52->r69
8710.0000 HM164 128928 3 1172.0000 p4 r68 280 N p4->p55->v81->r68
8794.0000 HM145 213756 3 2161.0000 p34 r61 263 N p34->p32->v89->r61
8870.0000 HM26 225834 3 7680.0000 p12 r69 172 N p12->p11->p55->r69
8870.0000 HM143 498367 2 2321.0000 p33 r77 261 N p33->v80->r77
8889.0000 HM126 451734 2 3155.0000 p42 r68 247 N p42->p50->r68
8937.0000 HM186 315770 2 408.0000 p23 r61 293 N p23->v88->r61
9272.0000 HM192 133601 1 491.0000 p13 r74 291 N p13->r74
9406.0000 HM187 199786 3 832.0000 p58 r76 286 N p58->p6->v85->r76
9410.0000 HM52 260522 2 7088.0000 p18 r66 181 N p18->v94->r66
9522.0000 HM208 183583 1 21.0000 p54 r64 299 N p54->r64
9567.0000 HM198 338966 1 521.0000 p47 r76 291 N p47->r76
9682.0000 HM150 282117 2 2800.0000 p18 r75 253 N p18->v93->r75
9868.0000 HM174 334701 2 1843.0000 p31 r70 269 N p31->p51->r70
9877.0000 HM182 473125 3 1525.0000 p26 r71 274 N p26->p41->v82->r71
9900.0000 HM209 366825 2 367.0000 p4 r73 293 N p4->v80->r73
9925.0000 HM201 358991 2 752.0000 p35 r74 287 N p35->v92->r74
9931.0000 HM193 297075 3 1102.0000 p49 r74 281 N p49->p20->v92->r74
9979.0000 HM149 226383 2 3145.0000 p16 r66 247 N p16->v89->r66
9985.0000 HM184 219604 3 1545.0000 p52 r79 274 N p52->p22->v83->r79
10006.0000 HM169 483427 3 2214.0000 p41 r67 263 N p41->p40->v90->r67
10029.0000 HM202 220599 2 806.0000 p32 r67 286 N p32->v88->r67
10164.0000 HM47 484144 2 8098.0000 p17 r77 165 N p17->p46->r77
10294.0000 HM203 188003 1 1037.0000 p33 r63 282 N p33->r63
10304.0000 HM180 166453 3 2033.0000 p12 r60 266 N p12->r71->v91->r60
10347.0000 HM194 247045 2 1485.0000 p43 r79 275 N p43->p19->r79
10376.0000 HM163 188399 2 2875.0000 p34 r71 252 N p34->p6->r71
10428.0000 HM219 156356 2 419.0000 p22 r60 293 N p22->v85->r60
10431.0000 HM137 246783 2 4177.0000 p58 r76 230 N p58->v90->r76
10442.0000 HM178 345461 3 2263.0000 p29 r72 262 N p29->r66->p55->r72
10466.0000 HM224 105847 2 278.0000 p23 r72 295 N p23->v83->r72
10496.0000 HM76 415853 1 7085.0000 p44 r60 181 N p44->r60
10530.0000 HM227 276776 3 190.0000 p11 r64 296 N p11->v83->r61->r64
10577.0000 HM212 227888 2 911.0000 p58 r75 284 N p58->v89->r75
10631.0000 HM210 303953 2 1043.0000 p37 r77 282 N p37->p44->r77
10751.0000 HM171 317487 2 2865.0000 p21 r77 252 N p21->r71->r77
10785.0000 HM196 277086 2 1833.0000 p29 r63 269 N p29->v87->r63
10821.0000 HM216 332228 3 957.0000 p49 r73 284 N p49->v83->p19->r73
