# time  ID  size  fromHost  toHost  TTL  isResponse
25108.0000 M284 463112 p25 r65 300 N 
25181.0000 M285 434468 p3 r78 300 N 
25251.0000 M286 168443 p56 r63 300 N 
25333.0000 M287 130636 p8 r63 300 N 
25436.0000 M288 414692 p33 r67 300 N 
25530.0000 M289 339864 p15 r65 300 N 
25607.0000 M290 456047 p5 r74 300 N 
25714.0000 M291 397788 p46 r75 300 N 
25802.0000 M292 397992 p23 r66 300 N 
25884.0000 M293 140270 p22 r70 300 N 
25974.0000 M294 382912 p59 r79 300 N 
26069.0000 M295 426344 p39 r66 300 N 
26137.0000 M296 298056 p10 r62 300 N 
26198.0000 M297 324579 p36 r64 300 N 
26260.0000 M298 269428 p12 r63 300 N 
26360.0000 M299 480316 p4 r60 300 N 
26473.0000 M300 196314 p12 r64 300 N 
26536.0000 M301 148818 p25 r76 300 N 
26632.0000 M302 399280 p16 r73 300 N 
26717.0000 M303 108229 p28 r66 300 N 
26782.0000 M304 307088 p17 r63 300 N 
26883.0000 M305 436793 p22 r60 300 N 
26954.0000 M306 481846 p30 r67 300 N 
27034.0000 M307 151056 p49 r71 300 N 
27130.0000 M308 181312 p10 r69 300 N 
27218.0000 M309 191667 p49 r77 300 N 
27304.0000 M310 256109 p16 r67 300 N 
27385.0000 M311 218953 p39 r73 300 N 
27459.0000 M312 416734 p42 r62 300 N 
27564.0000 M313 231806 p40 r76 300 N 
27650.0000 M314 103896 p7 r65 300 N 
27730.0000 M315 216381 p54 r63 300 N 
27806.0000 M316 155904 p47 r75 300 N 
27892.0000 M317 320630 p36 r73 300 N 
27990.0000 M318 108700 p26 r75 300 N 
28060.0000 M319 340952 p54 r68 300 N 
28120.0000 M320 247384 p44 r67 300 N 
28222.0000 M321 214807 p55 r77 300 N 
28311.0000 M322 416894 p59 r67 300 N 
28414.0000 M323 328359 p17 r69 300 N 
28525.0000 M324 475068 p28 r73 300 N 
28617.0000 M325 173182 p29 r68 300 N 
28698.0000 M326 432226 p9 r72 300 N 
28770.0000 M327 292309 p19 r70 300 N 
28859.0000 M328 160289 p9 r79 300 N 
28921.0000 M329 176231 p17 r70 300 N 
29030.0000 M330 140364 p33 r77 300 N 
29136.0000 M331 459185 p40 r77 300 N 
29227.0000 M332 130586 p36 r75 300 N 
29298.0000 M333 427696 p45 r69 300 N 
29361.0000 M334 487137 p8 r67 300 N 
29425.0000 M335 135333 p9 r72 300 N 
29507.0000 M336 134364 p23 r77 300 N 
29591.0000 M337 406099 p1 r68 300 N 
29693.0000 M338 198118 p10 r69 300 N 
29761.0000 M339 497599 p59 r62 300 N 
29831.0000 M340 288060 p29 r65 300 N 
