# time  ID  size  hopcount  deliveryTime  fromHost  toHost  remainingTtl  isResponse  path
15315.0000 M139 407091 2 2848.0000 p34 r69 252 N p34->p27->r69
15452.0000 M168 154957 2 339.0000 p17 r75 294 N p17->v85->r75
15553.0000 M165 326052 3 744.0000 p23 r73 287 N p23->p29->v82->r73
15672.0000 M167 149317 2 678.0000 p18 r73 288 N p18->v83->r73
15681.0000 M142 325726 2 2896.0000 p22 r64 251 N p22->v88->r64
15736.0000 M145 231105 3 2708.0000 p57 r68 254 N p57->r79->v85->r68
15872.0000 M133 191759 2 3943.0000 p55 r79 234 N p55->p28->r79
15911.0000 M173 129743 3 357.0000 p38 r65 294 N p38->p10->v89->r65
16077.0000 M154 495784 2 2199.0000 p36 r68 263 N p36->v86->r68
16153.0000 M155 162207 2 2188.0000 p21 r74 263 N p21->v89->r74
16174.0000 M172 362878 2 728.0000 p5 r76 287 N p5->v93->r76
16218.0000 M178 388860 2 190.0000 p28 r78 296 N p28->v88->r78
16256.0000 M180 201076 2 38.0000 p42 r79 299 N p42->v84->r79
16351.0000 M179 115625 2 217.0000 p29 r74 296 N p29->v82->r74
16359.0000 M174 437933 2 699.0000 p35 r66 288 N p35->v85->r66
16588.0000 M151 336319 3 3011.0000 p45 r78 249 N p45->p53->r73->r78
16593.0000 M163 126214 2 1955.0000 p55 r63 267 N p55->v80->r63
16609.0000 M171 382141 2 1255.0000 p56 r65 279 N p56->v92->r65
16660.0000 M141 127788 2 3991.0000 p32 r65 233 N p32->p38->r65
16787.0000 M176 245444 2 940.0000 p48 r65 284 N p48->v82->r65
16905.0000 M182 436202 2 480.0000 p44 r70 292 N p44->v85->r70
16907.0000 M137 331418 3 4627.0000 p40 r61 222 N p40->p10->r74->r61
17063.0000 M181 435256 1 755.0000 p13 r72 287 N p13->r72
17063.0000 M184 440578 2 451.0000 p0 r70 292 N p0->v82->r70
17368.0000 M191 197020 2 156.0000 p39 r79 297 N p39->v93->r79
17520.0000 M192 233643 2 221.0000 p42 r65 296 N p42->p57->r65
17550.0000 M170 302107 3 2277.0000 p58 r77 262 N p58->p5->v91->r77
17550.0000 M195 217519 2 2.0000 p28 r71 299 N p28->p54->r71
17700.0000 M177 236674 1 1778.0000 p21 r75 270 N p21->r75
17731.0000 M194 237123 2 255.0000 p47 r66 295 N p47->v82->r66
17835.0000 M187 317614 2 977.0000 p21 r72 283 N p21->v83->r72
17912.0000 M189 284866 3 885.0000 p28 r65 285 N p28->p19->v87->r65
17937.0000 M153 461960 1 4167.0000 p29 r71 230 N p29->r71
18075.0000 M175 218459 2 2301.0000 p6 r78 261 N p6->v90->r78
18108.0000 M190 336985 2 974.0000 p33 r67 283 N p33->v86->r67
18325.0000 M188 476547 3 1372.0000 p55 r66 277 N p55->r76->v83->r66
18326.0000 M198 116894 2 555.0000 p7 r66 290 N p7->v83->r66
18353.0000 M204 166524 3 113.0000 p51 r65 298 N p51->p33->v81->r65
18429.0000 M147 107429 3 5242.0000 p38 r75 212 N p38->p44->v89->r75
18431.0000 M186 469757 2 1653.0000 p0 r75 272 N p0->v89->r75
18447.0000 M169 198916 2 3249.0000 p11 r66 245 N p11->p13->r66
18455.0000 M158 252730 3 4233.0000 p29 r77 229 N p29->p2->p55->r77
18584.0000 M196 449359 3 965.0000 p27 r69 283 N p27->p29->v89->r69
18709.0000 M159 265139 2 4415.0000 p14 r72 226 N p14->v80->r72
18741.0000 M203 125456 1 574.0000 p6 r68 290 N p6->r68
18792.0000 M206 262621 2 411.0000 p46 r62 293 N p46->v88->r62
18952.0000 M197 261202 2 1272.0000 p44 r65 278 N p44->v91->r65
19183.0000 M185 472495 2 2475.0000 p54 r65 258 N p54->v84->r65
19207.0000 M130 436904 2 7555.0000 p32 r79 174 N p32->r61->r79
19254.0000 M211 192694 2 360.0000 p44 r75 294 N p44->v88->r75
19273.0000 M210 395690 2 495.0000 p34 r67 291 N p34->v80->r67
19297.0000 M213 238354 2 237.0000 p48 r65 296 N p48->r79->r65
19312.0000 M209 124475 2 632.0000 p26 r70 289 N p26->p51->r70
19395.0000 M216 227216 2 70.0000 p31 r70 298 N p31->v94->r70
19405.0000 M200 368739 1 1487.0000 p54 r66 275 N p54->r66
19621.0000 M207 476697 3 1153.0000 p33 r74 280 N p33->p45->v91->r74
19652.0000 M218 264723 3 167.0000 p53 r68 297 N p53->p25->v84->r68
19685.0000 M215 312854 2 458.0000 p56 r65 292 N p56->v82->r65
19918.0000 M212 130350 2 964.0000 p3 r77 283 N p3->v88->r77
20324.0000 M219 395653 1 768.0000 p29 r68 287 N p29->r68
20355.0000 M220 342665 3 697.0000 p19 r61 288 N p19->p27->v86->r61
20404.0000 M183 127190 2 3860.0000 p0 r63 235 N p0->p37->r63
20566.0000 M228 364849 2 192.0000 p6 r77 296 N p6->r61->r77
20567.0000 M217 109966 1 1144.0000 p16 r62 280 N p16->r62
20712.0000 M214 255418 3 1591.0000 p45 r75 273 N p45->p49->v84->r75
20855.0000 M202 273392 3 2761.0000 p45 r61 253 N p45->p40->v90->r61
20916.0000 M208 197966 3 2336.0000 p19 r61 261 N p19->v88->r71->r61
21012.0000 M201 437543 2 3002.0000 p2 r62 249 N p2->v90->r62
21022.0000 M205 444875 3 2720.0000 p4 r72 254 N p4->p35->p23->r72
21047.0000 M193 108399 3 3685.0000 p41 r63 238 N p41->p22->v82->r63
21342.0000 M231 490246 3 741.0000 p54 r67 287 N p54->r61->v90->r67
21357.0000 M229 445592 2 923.0000 p53 r60 284 N p53->v93->r60
21390.0000 M232 150058 2 691.0000 p39 r67 288 N p39->v89->r67
21448.0000 M235 469420 2 501.0000 p45 r74 291 N p45->v89->r74
21559.0000 M234 240646 3 707.0000 p32 r71 288 N p32->p16->v91->r71
21678.0000 M222 481369 1 1862.0000 p6 r65 268 N p6->r65
21851.0000 M230 349534 3 1338.0000 p27 r68 277 N p27->p10->v93->r68
21895.0000 M233 455810 3 1126.0000 p22 r72 281 N p22->v87->v91->r72
21931.0000 M221 452618 1 2178.0000 p37 r66 263 N p37->r66
21971.0000 M245 417669 3 217.0000 p52 r62 296 N p52->p12->v82->r62
22097.0000 M244 466809 2 415.0000 p9 r65 293 N p9->v88->r65
22101.0000 M238 199405 2 858.0000 p12 r64 285 N p12->p20->r64
22161.0000 M224 377933 2 2119.0000 p24 r78 264 N p24->v92->r78
22211.0000 M237 184992 2 1074.0000 p22 r66 282 N p22->v87->r66
22371.0000 M225 129412 3 2230.0000 p20 r67 262 N p20->p5->v80->r67
22480.0000 M227 219872 2 2184.0000 p33 r70 263 N p33->p57->r70
22542.0000 M241 172652 2 1077.0000 p23 r67 282 N p23->v82->r67
22684.0000 M161 396114 2 8209.0000 p34 r62 163 N p34->p36->r62
22748.0000 M246 448939 2 922.0000 p59 r62 284 N p59->v92->r62
22748.0000 M247 155903 2 807.0000 p44 r71 286 N p44->v82->r71
22773.0000 M236 390219 2 1738.0000 p46 r77 271 N p46->r72->r77
22813.0000 M250 198634 3 638.0000 p14 r75 289 N p14->v91->v82->r75
22844.0000 M199 261777 3 4999.0000 p59 r67 216 N p59->v91->r75->r67
22884.0000 M253 396075 1 413.0000 p5 r76 293 N p5->r76
22924.0000 M226 319313 1 2693.0000 p59 r60 255 N p59->r60
22949.0000 M249 104101 3 839.0000 p38 r61 286 N p38->v90->v89->r61
23227.0000 M256 453856 3 502.0000 p30 r65 291 N p30->p40->v80->r65
23429.0000 M240 253769 1 2031.0000 p28 r63 266 N p28->r63
23626.0000 M243 310860 3 2011.0000 p16 r63 266 N p16->p5->v83->r63
23629.0000 M262 211007 2 382.0000 p59 r76 293 N p59->v84->r76
24077.0000 M252 259552 2 1721.0000 p0 r62 271 N p0->v94->r62
24183.0000 M257 107794 2 1357.0000 p39 r77 277 N p39->v82->r77
